
                                                 Customer Listing
                                                 --------------------





RPT Name: Customer     Date:                                      08/18/25
 6435     Arnies Team Sports               Billings
 6440     Big Bear Sports Ctr              Billings
 6445     Champs Sports                    Billings
 6450     Scheels Sport Shops              Billings
 6455     Varsity Sports                   Anaconda
 6460     Spas & Sports Unlimited          Belgrade
 6465     Bob's Sport Shop                 Big Timber
 6470     Sports Additions                 Columbus
 6475     Sports Specialty                 Columbus
 6480     Lonnie's Sporting Goods          Corinth
 6485     Winner's Circle Inc              Corinth
 6490     Rainbow Sporting Goods           Anaconda
 6495     Columbia Sporting Goods          Columbia
 6500     Cricket Box Sports Ctr           Columbia
 6505     Smith Brothers Sporting Goods    Columbia
 6510     Hibbett Sports                   Columbus
 6515     Sullivan's Sports World          Brookhaven
 6520     Sport Shop                       Canton
 6525     Johnson's Sporting Goods         Charleston
 6530     Campassi Sporting Goods          Clarksdale
 6535     Sports Centre                    Amory
 6540     Gulf Sports                      Biloxi
 6545     Sport-about Inc                  Biloxi
 6550     Hi Five Sports Inc               Brandon
 6555     Dane's Sports & Marine Ctr       Brookhaven
 6560     W W's Sports World               Butler
 6565     Altenthal Sporting Goods         Cape Girardeau
 6570     Bill Williams Sporting Goods     Amory
 6575     Reagan's Sports Ctr              Boonville
 6580     Rawlings Sporting Goods          Branson
 6585     Sports Authority                 Bridgeton
 6590     Bill's Sport Shop                Butler
 6595     Liddle Sport Shop Inc            Blue Springs
 6600     Priddy Athletic                  Blue Springs
 6605     Sports Plus                      Blue Springs
 6610     Sports Specialist                Blue Springs
 6615     Bogard Sporting Goods            Bogard
 6620     L & M Athletic Goods             Aurora
 6625     Sports Authority                 Ballwin
 6630     Sports Replay                    Ballwin
 6635     Spirit Shoppe                    Bethany
 6640     Broken In Sports                 Bayport
 6645     Beaver Bay Sports Shop           Beaver Bay
 6650     Bluewater Bait & Sports          Bemidji
 6655     Arcadia Sporting Goods           Arcadia
 6660     Barry's Up North                 Aurora
 6665     Games People Play                Austin
 6670     South Central Athlete            Austin
 6675     Crandall's Sports                Bagley
 6680     Elmer's Sportsmen's Ctr          Baudette
 6685     Mr Sports                        Apple Valley
 6690     Sherm's Sporting Goods           Apple Valley
 6695     Westwood Sports                  Apple Valley
 6700     Tiger City Sports                Albert Lea
 6705     K & K Sports                     Alexandria
 6710     Play It Again Sports             Alexandria
 6715     Sports Magic                     Alexandria
 6720     C & S Sports Ctr                 Sanford
 6725     Jrry's Sport Shop                Sanford
 6730     Leitz Sports Ctr                 Sault Ste Marie
 6735     Bill's Sportman's Svc            Aitkin
 6740     All Area Sports                  Albany
 6745     Sports Necessities               Ludington
 6750     Dunhams Discount Sports          Madison Heights
 6755     M C Sports                       Okemos
 6760     Saline Sports Shack              Saline
 6765     Reynolds & Sons Sporting Goods   Grand Rapids
 6770     Schupbach's Sporting Goods       Jackson
 6775     Grand River Sports               Jenison
 6780     Pere Marquette Sport Ctr         Ludington
 6785     Lockeroom Sports                 East Tawas
 6790     Burke's Sport Haven              Eastpointe
 6795     Hi Tech Pro Shop                 Eastpointe
 6800     Play It Again Sports             Grand Rapids
 6805     Prep Sports Ctr                  Grand Rapids
 6810     Sugarloaf Ski Shop               Kingfield
 6815     Als Sports                       Lewiston
 6820     Johnson's Sporting Goods         Adrian
 6825     Soccer Corner                    East Lansing
 6830     Pond View Sports                 Dexter
 6835     Life Sports                      Ellsworth
 6840     Five K Sports                    Falmouth
 6845     Maine Mt Sports                  Farmington
 6850     Dandy Sports & Toys              Bridgton
 6855     Sportshaus                       Bridgton
 6860     Pro Line Sports                  Brunswick
 6865     Sport World                      Bucksport
 6870     Athletic Attic                   Auburn
 6875     Gee & Bee Sporting Goods Inc     Auburn
 6880     Pro Sports South                 Biddeford
 6885     R & R Sports Ctr                 Boothbay
 6890     J & B Sports                     Bridgewater
 6895     Bobby Mc Avan Pro Shop           Edgewood
 6900     Fred's Batter's Box              Elkton
 6905     Body Prospects                   Ellicott City
 6910     Grand Slam Usa                   Forest Hill
 6915     J G Sports                       Cumberland
 6920     Laurel Sport Shop                Cumberland
 6925     Bay Pro Shop                     Dunkirk
 6930     Marty's Sporting Goods           Edgewater
 6935     East Of Maui                     Bethesda
 6940     Herman's World-sporting Goods    Bethesda
 6945     P J's Sport-n-surf Shop          Bethesda
 6950     Somerset Sporting Goods          Crisfield
 6955     Olympia Sports Ctr               Swansea
 6960     Sports Zone Inc                  Adelphi
 6965     Angler's Sport Ctr               Annapolis
 6970     Jacob's Athletic Shoe Outlet     Baltimore
 6975     Jock City Sporting Goods         Baltimore
 6980     Lancer Sports                    Norton
 6985     Nauset Sports Inc                Orleans
 6990     Sports Plus Inc                  Sudbury
 6995     Athlete's Corner                 Swampscott
 7000     J & S Sports Inc                 Maynard
 7005     Miner's Sports World             Medfield
 7010     Goal Inc                         Newton
 7015     Adolphs Sporting Go              Newton Center
 7020     K & G Sportsworld                Carver
 7025     Prime Time Sports                Charlestown
 7030     Pro Sports                       Hingham
 7035     Back In The Game                 Holyoke
 7040     Bell's Sporting Goods            Lafayette
 7045     Chaney's Not Just Soccer         Lafayette
 7050     Legends Sporting Goods           Acton
 7055     Matt's Wild World Of Sports      Acushnet
 7060     Sports Etc                       Cambridge
 7065     Mickey's Sporting Goods          Kaplan
 7070     Club Soccer                      Kenner
 7075     New Orleans Sports               Kenner
 7080     Sports Avenue                    Kenner
 7085     Cenla Sports Inc                 Alexandria
 7090     Champs Sports                    Alexandria
 7095     Songy's Sporting Goods Inc       Houma
 7100     Bill's Guns & Sporting Goods     Jonesville
 7105     B-in-line                        Louisville
 7110     Field & Stream Outfitters Inc    Louisville
 7115     Fitness Systems                  Louisville
 7120     Home Skate Shop                  Louisville
 7125     Dickie's Sportsman's Ctr         Addis
 7130     Sports Plus                      Lexington
 7135     Lowe's Sporting Goods            London
 7140     Allied Sporting Goods            Louisville
 7145     Kentucky Sporting Goods          Lexington
 7150     Kentucky Sportsman Inc           Lexington
 7155     Locker Room Sporting Goods       Lexington
 7160     Sporting Tradition               Lexington
 7165     Louisville Sports & Rec          Anchorage
 7170     Ashland Sporting Goods           Ashland
 7175     Sportsman Center                 Ashland
 7180     Aggie Sale Sport Shop            Harrodsburg
 7185     Sport's Page                     Hutchinson
 7190     Bennett Sports                   Junction City
 7195     Center Sporting Goods            Kansas City
 7200     Sports Of All Sorts              Alexandria
 7205     Finish Line                      Hutchinson
 7210     Reffner's Sporting Goods         Hutchinson
 7215     Sport Shack                      Hutchinson
 7220     Outdoor Sporting Goods           Great Bend
 7225     Double Aa Sporting Goods         Hays
 7230     Goodwin Sporting Goods           Hays
 7235     Sportsman's Supply               Hays
 7240     T R's Sports                     Hays
 7245     Ryder's Sporting Goods           Arma
 7250     Sports Locker                    Garden City
 7255     J & J Sporting                   Garnett
 7260     Action Sports                    Great Bend
 7265     Dunham's Sporting Goods          Indianapolis
 7270     Em-roe Sporting Goods Co         Indianapolis
 7275     Sweats Sporting Goods            Abilene
 7280     Jan's Sport Shack                Arkansas City
 7285     Coach's Connection               Huntington
 7290     Arena Sporting Goods Inc         Indianapolis
 7295     Athletic Annex Running Centre    Indianapolis
 7300     Champs Sports                    Indianapolis
 7305     Varsity Sports Inc               Griffith
 7310     P J's Sports Hut                 Hartford City
 7315     Mike's Sporting Goods Inc        Hobart
 7320     Extreme Performance Outfitters   Evansville
 7325     Fan Fair Of Evansville           Evansville
 7330     Sports Plus                      Greenwood
 7335     Blythe's Sport Shop Inc          Griffith
 7340     Brendamour's Sporting Goods      Clarksville
 7345     Kratz Sporting Goods             Clarksville
 7350     Extra Innings Sporting Goods     Evansville
 7355     Earl's Sports                    Edwardsville
 7360     Gym Bag                          Edwardsville
 7365     Stan's Sports Arena              Alexandria
 7370     M C Sports                       Dundee
 7375     Play It Again Sports             Dundee
 7380     Fly-way Sporting Goods           East Carondelet
 7385     Lacoma Golf Club                 East Dubuque
 7390     Dr Jack's Sport & Quick Stops    East St Louis
 7395     Ramm Sports                      Downers Grove
 7400     Tom's Sport Enterprises Inc      Downers Grove
 7405     Champs Sports                    Dundee
 7410     Bike & Hike                      Charleston
 7415     C D Tripleplay Sportscenter      Charleston
 7420     A P Sports                       Chicago
 7425     Simerly's                        Wendell
 7430     Hoffies Imprinted Sportswear     Abingdon
 7435     Pro Image Inc                    Addison
 7440     All American Sporting Goods      Algonquin
 7445     Hockey Unlimited Inc             Alsip
 7450     Vano's Club House                Twin Falls
 7455     West Addison Sportsmen Supply    Twin Falls
 7460     R U Outside                      Victor
 7465     Victor's Emporium                Victor
 7470     Dive Magic                       Twin Falls
 7475     Donnelley Sports                 Twin Falls
 7480     Hatch                            Twin Falls
 7485     Twin Peaks Sports                Challis
 7490     Lolo Sporting Goods              Lewiston
 7495     Bent Rod                         Mackay
 7500     Sticks & Stone Mountaineering    Rexburg
 7505     Spirit Express                   Rigby
 7510     A To Z Sports                    Blackfoot
 7515     Sports West Outlet               Blackfoot
 7520     Outdoor Outlet                   Challis
 7525     Terry's Sports Shop & Video      Challis
 7530     Don's Bait & Tackle              Panora
 7535     Goalsetter Systems Inc           Pella
 7540     Briar & Bow                      Sioux City
 7545     Hauff Sporting Goods             Sioux City
 7550     Craton's Sporting Goods          Davenport
 7555     Greenbelt Outfitters             Eldora
 7560     G T Sports Unlimited             Eldridge
 7565     Rec Room                         Oelwein
 7570     Okoboji Boats                    Okoboji
 7575     Champion Sports                  Ames
 7580     Intensitee                       Ames
 7585     Pier                             Creston
 7590     Back Nine                        Davenport
 7595     Jin Golf Corp                    Honolulu
 7600     Kalihi Bowling Ball Clinic       Honolulu
 7605     Maui Sporting Goods Spearfish    Honolulu
 7610     Bass Alley                       Adair
 7615     Hawaii Outdoor World Paradise    Honolulu
 7620     Headside                         Honolulu
 7625     Island Snowboards Hawaii         Honolulu
 7630     Jam Sports                       Honolulu
 7635     Caddie-shack Hawaii              Honolulu
 7640     Capworld                         Honolulu
 7645     Cardinal Sports                  Honolulu
 7650     Fresh Wave                       Honolulu
 7655     Heavy Metal Barbell Co           Aiea
 7660     Merle Harmon's Fan Fair          Aiea
 7665     Player's Choice Inc              Hilo
 7670     Las Vegas Discount Golf/tennis   Marietta
 7675     Metro Sports Fitness Depot       Marietta
 7680     First Class Usa                  Aiea
 7685     Golf Line Hawaii Inc             Aiea
 7690     Campus Sports                    Marietta
 7695     Dive Shop                        Marietta
 7700     Hockey Shop                      Marietta
 7705     J & J Schwin                     Marietta
 7710     Advanced Hunting Equipment Inc   Cumming
 7715     Bicycle City                     Griffin
 7720     Famous Footwear                  Griffin
 7725     Bikeabout Bicycles               Marietta
 7730     Rei-recreational Equipment Inc   Atlanta
 7735     Skate 2000                       Atlanta
 7740     Soccer Alley                     Atlanta
 7745     Soccer Kick                      Atlanta
 7750     Piedmont Outdoors                Covington
 7755     Arkenstone Paint Ball Games      Acworth
 7760     Rei-recreation Equipment Inc     Atlanta
 7765     Equipment Locker Sport & Cycle   Marathon
 7770     Bandit Weight Equipment          Margate
 7775     Hibbett Sports                   Mary Esther
 7780     Lutz Bait & Tackle               Lutz
 7785     C & G Sporting Goods             Lynn Haven
 7790     Sports Shak                      Macclenny
 7795     Over The Edge Skates             Maitland
 7800     Athletic Footwear Outlet         Fort Lauderdale
 7805     Champs Sports                    Fort Lauderdale
 7810     Orlando Team Sports              Longwood
 7815     Soccer Star                      Longwood
 7820     Bluegrass Sales                  Altamonte Spgs
 7825     Orlando Magic Fan Attic          Altamonte Spgs
 7830     Athletic Attic                   Fernandina Beach
 7835     Athlete's Choice Inc             Fort Lauderdale
 7840     Taylored Tackle & Archery Shop   Seaford
 7845     Duck Creek Gun & Surplus Ctr     Smyrna
 7850     Deer Stand Inc                   Alachua
 7855     Athlete's Foot                   Altamonte Spgs
 7860     D & P Powder Keg                 Newark
 7865     Save On Sneaks                   Newark
 7870     Skaters Edge Hockey Supply       Newark
 7875     Time Out Sports                  Newark
 7880     Slugger's Den                    Middletown
 7885     Moore Sports & Engraving         Milford
 7890     Shooters Supply                  New Castle
 7895     Home Town Sports                 Camden Wyoming
 7900     Sports Alley                     Georgetown
 7905     Baker Sporting                   Greenwood
 7910     Soccer Tec                       Hockessin
 7915     R & R Sports Ctr                 Lewes
 7920     Sports Factory                   Washington
 7925     Sports Zone                      Washington
 7930     Bear Sporting Goods              Bear
 7935     All Out Sports                   Bethany Beach
 7940     Nash's Sports & Casuals          Washington
 7945     National Diving Ctr              Washington
 7950     Racquet & Jog                    Washington
 7955     Rom-mid Atlantic                 Washington
 7960     Hudson Trail Outfitters Ltd      Washington
 7965     Irving's Sport Shops             Washington
 7970     Lids Ltd Partnership             Washington
 7975     Fleet Feet                       Washington
 7980     G T Players                      Washington
 7985     Great Pacific Patagonia          Washington
 7990     Herman's World-sporting Goods    Washington
 7995     Herb's Sport Shop Inc            West Hartford
 8000     A & A Athletic & Recreation      Washington
 8005     Cleveland Park Sports            Washington
 8010     Cycles & Sports Inc              Washington
 8015     Sports Resources                 Stratford
 8020     Shihan Martial Arts & Sporting   Taftville
 8025     Anzellottis Sportin              Torrington
 8030     Herman's World-sporting Goods    Waterford
 8035     Ryan's Ski & Sport               Glastonbury
 8040     Golf Usa                         New London
 8045     Seaview Scuba Inc                New London
 8050     Epic Sport Works                 Storrs Mansfield
 8055     Sartorius Sports Ltd             Avon
 8060     Total Fitness Systems Inc        Avon
 8065     Champs Sports                    Farmington
 8070     Pro Image Inc                    Farmington
 8075     Between The Lines Boating Hrdw   Nathrop
 8080     B & M Gun Shop                   Abington
 8085     G & K Sports                     Ansonia
 8090     Jay's Sport & Trophy             Ansonia
 8095     Darter Baits                     Ashford
 8100     Gunnison Sporting Goods          Gunnison
 8105     Steep & Steep Snowboards Inc     Gunnison
 8110     Surf Lodge                       Montrose
 8115     Pedersen's Ski & Sports          Colorado Springs
 8120     Pacific Wave                     Fort Collins
 8125     Pro Golf Discount                Fort Collins
 8130     Rei-recreational Equipment Inc   Fort Collins
 8135     Ride The Wind                    Castle Rock
 8140     Leisure Time Sports & Video      Cedaredge
 8145     Northside Soccer & Sports        Colorado Springs
 8150     Three Rivers Resort & Outfit     Almont
 8155     Cottonwood Meadows Tackle        Antonito
 8160     Scuba Joe                        Boulder
 8165     2 Fun Sports Sales               Boulder
 8170     Hot Feet                         Tracy
 8175     Pacific Underground              Tracy
 8180     Bud's Sporting Goods & Fntn      Truckee
 8185     Alamosa Sporting Goods & Pawn    Alamosa
 8190     Any Mountain Ltd                 Redwood City
 8195     Nomad Cyclery                    San Francisco
 8200     On The Run                       San Francisco
 8205     Pacific Bicycle                  San Francisco
 8210     Paint Ball Plus                  Merced
 8215     S & S Gear                       Mi Wuk Village
 8220     Sierra Angler's Fly Shop         Modesto
 8225     Copeland Sports                  Culver City
 8230     Golden Bear Skate Shop           Culver City
 8235     Payless Drug Store               King City
 8240     L A Gym Equipment                Los Angeles
 8245     Main Event-la Coliseum           Los Angeles
 8250     Sprague's Sports & Rv Inc        Yuma
 8255     Alameda Skate & Surf             Alameda
 8260     Am-cam Sports                    Culver City
 8265     Wisdom's Sporting Goods          Tumacacori
 8270     J & L Sporting Goods             Williams
 8275     Big 5 Sporting Goods             Yuma
 8280     Southwest Dart & Billiard        Yuma
 8285     Edington's Fine Golfwear         Scottsdale
 8290     Campus Athletic                  Tucson
 8295     Champs Sports                    Tucson
 8300     Champs Sports                    Tucson
 8305     Desert Canyon Sports             Tucson
 8310     All Sports                       Phoenix
 8315     Bear Arms                        Scottsdale
 8320     Cactus Southwest Golf            Scottsdale
 8325     Kliban's Variety Store           Ajo
 8330     Desert River Sports              Bullhead City
 8335     Main Event                       Casa Grande
 8340     Popular Outdoor Outfitters       Peoria
 8345     Lavender Enterprises             Prescott
 8350     71 Pawn Ctr                      Rogers
 8355     Swap Shop                        Warren
 8360     Red Barn Sports Ctr              West Memphis
 8365     Greenbrier Feed                  Greenbrier
 8370     Plyler's Harware                 Gurdon
 8375     Dive Shop                        Little Rock
 8380     Golf Augusta Pro Shop            Little Rock
 8385     Gun Rack                         Batesville
 8390     J-sport                          El Dorado
 8395     Sportstuff                       El Dorado
 8400     C & J Sports                     Eureka Springs
 8405     Mcg Enterprises Inc              Montgomery
 8410     Olympia Sporting Goods           Montgomery
 8415     Tink's Sport Stop                Amity
 8420     Southwest Sporting Goods Co      Arkadelphia
 8425     Barling Bait & Tackle            Barling
 8430     Mc Corvey's Pro Shop             Huntsville
 8435     Rocky's Sporting Goods           Huntsville
 8440     Just For Kicks Soccer Ctr        Montgomery
 8445     Pro Image Inc                    Dothan
 8450     Quick Track                      Dothan
 8455     Ready's Home Recreation          Dothan
 8460     Southern Outdoor Sports          Dothan
 8465     M & R Sporting Goods             Alexander City
 8470     Sports Huddle                    Alexander City
 8475     B & B Sporting Goods             Aliceville
 8480     Outdoorsman Inc                  Dothan
 8485     Play It Again Sports             Dothan
 8490     Johnson Brothers Fishing Guide   Soldotna
 8495     Carter's Archery & Awards        Abbeville
 8500     Moore's Sporting Goods           Albertville
 8505     City Pawn Shop                   Alexander City
 8510     Winrose Enterprises              Sitka
 8515     Skagway Sports Emporium          Skagway
 8520     Bow Shop                         Soldotna
 8525     Arctic Gun Trader                Nome
 8530     Atkilak's Hunting & Fishing      Nome
 8535     Bonnie's Sports & Trophy Supl    Nome
 8540     John's Custom Archery Pro Shop   North Pole
 8545     Arctic Gunworks                  Fairbanks
 8550     Western Auto                     Juneau
 8555     Bob's Guns & Sporting Goods      Ketchikan
 8560     Lighthouse Grocery & Liquor      Ketchikan
 8565     Alaska Fisheries                 Anchorage
 8570     Alaska Par T Golf Pro Shop       Anchorage
 8575     All Weather wear                 Fairbanks
 8580     Apocalypse Design Inc            Fairbanks
